UnitCode,StdLocName,SiteID,DeployDate,Study_day_Deploy,RetrievalDate,Study_day_Retrieve,DeployJulian,RetrieveJulian,Study_days,SatialDataSource,CameraName,SDCardName,MountMethod,CamPosition,BatteryStatus,CameraSensitivity,DelaySec,ImagePer,CameraBearing,SetupNotes,CollectionNotes,PhotoNotes,TotalPics,QAQCed,ValidateTenPct,Certified,CertifiedDate,ExcludeAnalysis,NPSpecies,GlobalID,coords.x1,coords.x2
ORPI,Wildlife_ORPI_V101_003,1,3/21/2016,1,4/23/2016,34,81,114,34,Samsung Tab Active A,USFWS_I&M_006,SODN1,Stake,NA,MD,Normal,MD,MD,342,NA,NA,NA,MD,Y,NA,NA,NA,N,NA,{6B04342C-0B11-4ACF-A7B0-CD2F19F89F4A},-112.7623417,32.133085
ORPI,Wildlife_ORPI_V101_007,2,3/22/2016,2,4/24/2016,35,82,115,34,Samsung Tab Active A,SODN_009,SODN5,Stake,NA,Full,Normal,MD,MD,288,NA,NA,NA,MD,Y,NA,NA,NA,N,NA,{CA5E24D0-0BE8-40F2-8625-72093FBFC8AC},-112.7837167,32.13981333
ORPI,Wildlife_ORPI_V101_010,3,3/22/2016,2,4/24/2016,35,82,115,34,Samsung Tab Active A,USFWS_I&M_012,SODN12,Stake,NA,Full,Normal,MD,MD,341,NA,NA,No wildlife observations,MD,Y,NA,NA,NA,N,NA,{E3940D15-DA04-45E7-B736-6A2CC13A2884},-112.8034766,32.14130327
ORPI,Wildlife_ORPI_V101_014,4,3/22/2016,2,4/23/2016,34,82,114,33,Samsung Tab Active A,USFWS_I&M_021,SODN2,Stake,NA,Full,Normal,MD,MD,332,NA,NA,NA,MD,Y,NA,NA,NA,N,NA,{664C5089-9767-4F35-92E1-5C39E02BDBBA},-112.7366059,32.13577239
ORPI,Wildlife_ORPI_V102_001,5,3/22/2016,2,4/24/2016,35,82,115,34,Samsung Tab Active A,USFWS_I&M_004,SODN4,Stake,NA,Full,Normal,MD,MD,8,NA,NA,NA,MD,Y,NA,NA,NA,N,NA,{9B704C4C-A528-4602-87F7-9CA7F22F6B91},-112.80738,32.12373997
ORPI,Wildlife_ORPI_V102_003,6,3/22/2016,2,4/24/2016,35,82,115,34,Samsung Tab Active A,USFWS_I&M_005,SODN10,Stake,NA,Full,Low,MD,MD,262,NA,NA,NA,MD,Y,NA,NA,NA,N,NA,{50423B30-D6BB-4AE9-9D11-D59AF0AAE6E5},-112.7408977,32.10042228
ORPI,Wildlife_ORPI_V102_006,7,3/22/2016,2,4/24/2016,35,82,115,34,Samsung Tab Active A,SODN_005,SODN3,Stake,NA,Full,Normal,MD,MD,34,NA,NA,NA,MD,Y,NA,NA,NA,N,NA,{99E35485-F61B-4811-AC95-D43D7C66B934},-112.773728,32.12713327
ORPI,Wildlife_ORPI_V102_008,8,3/22/2016,2,4/24/2016,35,82,115,34,Samsung Tab Active A,SODN_010,SODN7,Stake,NA,Full,Normal,MD,MD,352,NA,NA,NA,MD,Y,NA,NA,NA,N,NA,{CB6DD187-3CB2-47DB-8FA6-2C164A657410},-112.7545257,32.11110504
ORPI,Wildlife_ORPI_V103_005,9,3/22/2016,2,4/24/2016,35,82,115,34,Samsung Tab Active A,USFWS_I&M_017,SODN9,Stake,NA,Full,Low,MD,MD,244,NA,NA,No wildlife observations.,MD,Y,NA,NA,NA,N,NA,{2B291C1D-3D22-42EE-BEE7-FF088BD3C8AF},-112.7209624,32.11038674
ORPI,Wildlife_ORPI_V101_004W,10,3/23/2016,3,4/24/2016,35,83,115,33,Samsung Tab Active A,SODN_002,SODN16,Stake,NA,Full,Normal,MD,MD,19,NA,NA,"Did NOT make 30 days, no record in tbl_Species_Data.",MD,Y,NA,NA,NA,N,NA,{69FBAF2D-7379-4F97-A303-F8AD2844AECF},-112.761989,31.88058841
ORPI,Wildlife_ORPI_V102_002,11,3/23/2016,3,4/24/2016,35,83,115,33,Samsung Tab Active A,USFWS_I&M_007,SODN8,Stake,NA,Full,Normal,MD,MD,338,NA,NA,NA,MD,Y,NA,NA,NA,N,NA,{1D3537BA-33DB-4934-AF08-8002B0CC7A69},-112.7272389,32.04306348
ORPI,Wildlife_ORPI_V102_004,12,3/23/2016,3,4/23/2016,34,83,114,32,Samsung Tab Active A,USFWS_I&M_001,SODN23,Stake,NA,Full,Normal,MD,MD,332,NA,NA,NA,MD,Y,NA,NA,NA,N,NA,{8360CE66-848F-4754-9D46-83D498F6D7E2},-112.7286179,32.08223803
ORPI,Wildlife_ORPI_V102_005,13,3/23/2016,3,4/24/2016,35,83,115,33,Samsung Tab Active A,USFWS_I&M_018,SODN6,Stake,NA,Full,Normal,MD,MD,282,NA,NA,NA,MD,Y,NA,NA,NA,N,NA,{6289D860-CA95-4868-9AB1-443082C96EB7},-112.7368287,32.02441549
ORPI,Wildlife_ORPI_V102_001W,14,3/23/2016,3,4/23/2016,34,83,114,32,Samsung Tab Active A,USFWS_I&M_019,SODN15,Stake,NA,Full,Normal,MD,MD,30,NA,NA,No wildlife observations.,MD,Y,NA,NA,NA,N,NA,{90A2B776-F25A-48B3-A784-094607632AE5},-112.7809291,31.91532508
ORPI,Wildlife_ORPI_V102_002W,15,3/23/2016,3,4/23/2016,34,83,114,32,Samsung Tab Active A,SODN_007,SODN17,Stake,NA,Full,Low,MD,MD,330,NA,NA,NA,MD,Y,NA,NA,NA,N,NA,{C023BA3B-666A-402B-903A-B701E02CF202},-112.772136,32.07680096
ORPI,Wildlife_ORPI_V102_003W,16,3/23/2016,3,6/13/2016,85,83,165,83,Samsung Tab Active A,USFWS_I&M_016,SODN18,Stake,NA,Good,Normal,MD,MD,332,NA,NA,NA,MD,Y,NA,NA,NA,N,NA,{D11A20FC-8F2D-49BA-820E-8FB818B165A1},-112.8568069,31.99580035
ORPI,Wildlife_ORPI_V103_003,17,3/24/2016,4,6/13/2016,85,84,165,82,Samsung Tab Active A,SODN_001,SODN14,Stake,NA,Full,Low,5,1,315,"Park at spot #3 on Ajo Mountain Drive. Walk E along southern end of canyon. Plot is located on N slope of ridge, just below (and west) of saddle. 105 degrees from parking spot. Camera located approx. 7m downslope of uplands plot origin.",NA,NA,15,Y,NA,NA,NA,N,NA,{07D21A57-2F9A-409F-A7AC-0E771FA51982},-112.697876,31.99591065
ORPI,Wildlife_ORPI_V103_001W,18,3/24/2016,4,6/13/2016,85,84,165,82,Samsung Tab Active A,USFWS_I&M_009,SODN13,Stake,NA,Full,Normal,5,1,204,"Park at picnic area at the end of 2-way section of N. Puerto Blanco drive. Walk north about 2.5 km along foothills of Pinkley Peak to last peak (furthest NE). Camera is located west and slightly south of uplands plot corner (0,0) about 7 m.",NA,NA,326,Y,NA,NA,NA,N,NA,{D7FD92AC-A219-40A8-AE02-A8AE1B1C55F3},-112.8463745,32.02087402
ORPI,Wildlife_ORPI_V101_16W,19,4/22/2016,33,6/13/2016,85,113,165,53,Samsung Tab Active A,ORPI_37,24,Stake,NA,Full,Low,MD,MD,334,NA,NA,Good photos of jackrabbits,MD,Y,NA,NA,NA,N,NA,{84445A67-F950-48BE-9EF4-60E1D8B3D030},-112.7693241,31.97353096
ORPI,Wildlife_ORPI_V102_37W,20,4/22/2016,33,6/13/2016,85,113,165,53,Samsung Tab Active A,ORPI_27,43,Stake,NA,Full,Low,MD,MD,80,NA,NA,"Only pictures were of technicians. No wildlife triggers. Full batteries on pickup. Best guess is that the ""low"" sensitivity made it difficult to trigger. All signs point to camera running for full 30 days, but hard to tell for sure.",MD,Y,NA,NA,NA,N,NA,{5835B584-1E16-4B0F-9AFC-46B505BB0318},-112.7994551,31.97925197
ORPI,Wildlife_ORPI_V102_44W,21,4/22/2016,33,6/16/2016,88,113,168,56,Samsung Tab Active A,136634,1,Stake,NA,Good,Normal,MD,MD,320,NA,NA,"Did NOT make 30 days, no record in tbl_Species_Data. Only took a week's worth of photos. Not sure why. ",MD,Y,NA,NA,NA,N,NA,{DA47FF6F-8714-4F7C-9346-DA64E5927B8D},-112.778087,31.89103998
