"","UnitCode","StdLocName","SiteID","MarkerType","MarkerName","SpatialDataSource","MonumentDate","RetiredYear","RetiredReason","SafetyNotes","NavigationNotes","QAQCed","Certified","DateCertified","globalid","NEAR_FID","NEAR_DIST"
"1","ORPI","Wildlife_ORPI_V102_44R",53,"GPS Only","V102_44R","Samsung Tab Active A","2016/04/27 00:00:00",NA,NA,NA,"(same as previous year) Camera is on open gravel at base of creosote","Y",NA,NA,"{A281E313-9E3C-4413-AB97-E26E6B2DA754}",157,0.0540610197539192
"2","ORPI","Wildlife_ORPI_V103_47R",60,"GPS Only","V103_47R","Samsung Tab Active A","2016/04/27 00:00:00",NA,NA,NA,"Park at the restroom/wind mill on N Puerto Blanco Dr at 2km from point and follow the very wide drainage west of the wind mill. Get off the drainage when at about 250m from the point.","Y",NA,NA,"{4BB24E93-46EB-474F-A874-5FB7CC8DA86B}",157,0.0782540379629148
"3","SAGW","Wildlife_SAGW_W202_046",96,"GPS Only","W202_046","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,NA,"from camera point 51 head east eventually merging with trail. head over mountain and down trail Turing south to camera.","Y",NA,NA,"{15CDDCF7-0F66-45EA-8C56-E07A9B6D9116}",3,0.0691218366797404
"4","CHIR","Wildlife_CHIR_V402_002",149,"Rebar","V402_002","Garmin GLO","2017/09/13 00:00:00",NA,NA,"lots of rock hopping, be sure of footing.","Park on road approx 450m NW of point. After crossing park boundary, the final 130m is achieved through a boulder field. try and stay midway up on SW side of slope.","Y",NA,NA,"{31F327F9-A3DD-4773-9224-91037F50CEB1}",12,0.0352308460443089
"5","SAGW","Wildlife_SAGW_W202_026",87,"GPS Only","W202_026","Samsung Tab Active A","2017/01/25 00:00:00",NA,NA,NA,"N/A","Y",NA,NA,"{46FAB58B-BB49-4429-9358-0838D50B7BA0}",3,0.0551856086242839
"6","ORPI","Wildlife_ORPI_V101_014",4,"Rebar","V101_014","Samsung Tab Active A","2016/03/22 00:00:00",NA,NA,NA,"hike 2.4km from 101_003","Y",NA,NA,"{35B7A491-A13F-4CB3-8BB0-ED70D1C21B1D}",104,0.064339208403462
"7","CHIR","Wildlife_CHIR_V502_009",156,"Rebar","V502_009","Garmin GLO","2017/09/13 00:00:00",NA,NA,"Steep and lots of dense shrubbery","Take Echo Canyon trail towards Mushroom Rock and past Mushroom rock viewpoint. Trail will cross Rhyolite drainage. Depart trail at this point and continue up drainage. Take drainage slightly past point before heading uphill. ","Y",NA,NA,"{5324DFCE-A1A6-4532-9BAD-0C7DE16263EE}",8,0.0408330170932708
"8","SAGW","Wildlife_SAGW_W102_024",73,"GPS Only","W102_024","Samsung Tab Active A","2017/01/24 00:00:00",NA,NA,NA,"From plot 101_049 hike 1km south towards plot.","Y",NA,NA,"{D0D5E8A8-24D3-44D3-964E-5EF0801F913E}",3,0.110506986084767
"9","CHIR","Wildlife_CHIR_V502_013",159,"Rebar","V502_013","Garmin GLO","2017/09/14 00:00:00",NA,NA,"lots of loose rock and boulders on way to plot. steep slopes 
","point is approx 100m due west of large drainage","Y",NA,NA,"{83DE9840-BE14-4EE3-80E4-ECE899385DC9}",8,0.0554622210542828
"10","ORPI","Wildlife_ORPI_V101_004",41,"Rebar","V101_004","Samsung Tab Active A","2016/04/25 00:00:00",NA,NA,"flat walk with no shade","parked at small round about right next to boarder patrol station. walked on road for a bit then headed straight to point.","Y",NA,NA,"{2D6D7177-3B62-4B1E-88A9-97E77B6E6290}",157,0.210256691699388
